id,geo,hh_size,hh_kids,hh_cellular,hh_education,hh_head_female,village_pop,village_far,treatment,asset_tot_value_bsl,asset_prod_value_bsl,asset_hh_value_bsl,asset_index_bsl,asset_prod_index_bsl,asset_hh_index_bsl,iagri_month_bsl,ibusiness_month_bsl,ipaidlabor_month_bsl,index_foodsecurity_bsl,fs_enoughfood_bsl,fs_adultskip_bsl,fs_wholeday_bsl,fs_childskip_bsl,fs_twomeals_bsl,control_primeageadult,control_income_pc,control_asset_count
37814,319,3,1,0,0,1,345,1,1,336.7124329,310.7158203,25.99659538,-0.149990305,-0.081577435,-0.992301643,9.29053688,0,0,0.740589142,0,1,1,1,0,1,4.386952877,15
37815,319,4,1,0,1,0,345,1,1,229.1656342,163.6090088,65.556633,-0.201375365,-0.137761861,-0.92880863,3.158781767,0,224.7566833,-0.359041333,0,1,0,1,0,1,112.9027634,19
37816,319,6,1,0,0,1,345,1,0,599.6171265,350.9540405,248.6630859,-0.080122888,-0.058361996,-0.318837196,102.7636566,0,299.6755676,-1.12978065,0,0,1,0,0,1,135.9068756,31
37817,319,5,1,0,0,0,345,1,1,483.4801636,272.1165466,211.3636322,0.068623029,-0.055127233,1.77491343,18.58107567,0,0,-0.11483559,0,0,1,1,0,1,-9.99232769,26
37818,319,4,1,1,0,1,345,1,1,195.3135529,104.8906097,90.42294312,-0.161243707,-0.148275718,-0.201224059,-2.36114645,0,187.2972412,0.740589142,0,1,1,1,0,1,91.60843658,25
37819,319,5,1,0,1,0,345,1,0,143.5464172,35.03889084,108.5075302,-0.203075036,-0.172869772,-0.451643497,0,0,58.53038788,-0.11483559,0,0,1,1,0,1,24.16570663,10
37820,319,4,1,0,0,0,345,1,0,109.6378174,31.64802933,77.98978424,0.079322442,0.151074678,-1.017346144,-5.016889572,0,52.67734528,-0.11483559,0,0,1,1,0,1,24.59723663,13
37822,319,5,1,0,1,1,345,1,1,227.4702148,122.3535385,105.1166687,-0.189585552,-0.154843122,-0.515136659,40.97127151,0,117.0607758,-0.11483559,0,0,1,1,0,1,63.32949829,9
37823,319,4,1,0,0,0,345,1,1,122.636116,54.81890869,67.81720734,-0.212823242,-0.172044903,-0.603674114,0,0,265.337738,-1.214466095,0,0,0,1,0,1,136.9390106,23
37824,319,5,1,0,0,0,345,1,1,374.4075012,289.6359863,84.77150726,-0.070965037,-0.06704554,-0.06301605,26.84964943,0,449.5133057,0.740589142,0,1,1,1,0,1,194.3382874,31
37825,319,4,1,0,1,0,345,1,0,154.2841492,106.8120956,47.4720459,-0.202890232,-0.162043169,-0.603674114,5.908781528,0,267.5674744,0.740589142,0,1,1,1,0,1,137.3034058,13
37826,319,8,1,0,1,0,345,1,1,663.7609253,539.4293823,124.331543,-0.0055136,-0.010436329,0.069790341,33.4459343,0,374.5944824,-1.214466095,0,0,0,1,0,1,102.1948166,26
37827,319,5,1,1,0,0,345,1,1,1305.198608,955.9400024,349.258606,0.206108674,0.178926647,0.408747166,120.7769928,0,66.89186859,0.740589142,0,1,1,1,0,1,75.1822052,54
37828,319,5,1,0,0,0,345,1,1,159.6529999,118.9626846,40.69032288,-0.191098601,-0.122970149,-0.992301643,86.86651611,0,193.9864197,-2.229411125,0,0,0,0,0,1,113.6843033,18
37829,319,4,1,0,1,0,345,1,0,120.3755417,80.81550598,39.56003571,-0.252578795,-0.178679004,-1.080839157,0,0,117.0607758,0.740589142,0,1,1,1,0,1,56.81818008,5
37830,319,4,1,0,1,1,345,1,0,159.9355774,86.4669342,73.46864319,-0.20581086,-0.164984018,-0.603674114,0,0,182.6147919,0.740589142,0,1,1,1,0,1,92.56808472,6
37831,319,8,1,1,0,0,345,1,1,672.8032227,426.4006958,246.4025116,-0.037146673,-0.056716565,0.275940865,39.06980515,0,143.5945435,0.740589142,0,1,1,1,0,1,45.21800613,26
37832,319,4,1,1,1,0,345,1,0,326.6528625,119.8103943,206.8424835,-0.180885613,-0.163609698,-0.264717102,0,0,81.94254303,0.740589142,0,1,1,1,0,1,42.28998947,23
