st,state,cd,dailykos_name,largest_place,pct_trump,pct_romney,pct_mccain,totalvoters,region,division
IL,Illinois,IL-10,Chicago's North Shore suburbs,Waukegan,0.34460887949260044,0.4168356997971603,0.36299292214357937,296793,North Central,East North Central
IL,Illinois,IL-11,Southwestern Chicago suburbs,Aurora,0.3753976670201485,0.4126016260162602,0.37955465587044535,283751,North Central,East North Central
IL,Illinois,IL-12,Southwestern Illinois,Belleville,0.5777310924369748,0.4923391215526047,0.4435401831129196,320667,North Central,East North Central
IL,Illinois,IL-13,Central Illinois,Springfield,0.529286474973376,0.5015384615384615,0.4439918533604888,321704,North Central,East North Central
IL,Illinois,IL-14,Western Chicago exurbs,Naperville,0.520855614973262,0.5508130081300814,0.486322188449848,350666,North Central,East North Central
IL,Illinois,IL-15,East-central and southeastern Illinois,Danville,0.7426470588235294,0.6520408163265307,0.5641547861507128,325140,North Central,East North Central
IL,Illinois,IL-16,North-central Illinois,Rockford,0.5916844349680171,0.5392456676860347,0.4908350305498982,317967,North Central,East North Central
IL,Illinois,IL-17,Northwestern Illinois,Rockford,0.5037194473963867,0.4134419551934827,0.39086294416243655,293493,North Central,East North Central
IL,Illinois,IL-18,West-central Illinois,Peoria,0.6453674121405751,0.6187563710499491,0.5522842639593909,354558,North Central,East North Central
IN,Indiana,IN-01,Northwestern Indiana,Hammond,0.4341004184100418,0.3793103448275862,0.3612512613521695,309670,North Central,East North Central
IN,Indiana,IN-02,North-central Indiana,South Bend,0.6215932914046122,0.5712830957230143,0.49848331648129424,284985,North Central,East North Central
IN,Indiana,IN-03,Northeastern Indiana,Fort Wayne,0.6838235294117646,0.6364562118126273,0.5656565656565657,299251,North Central,East North Central
IN,Indiana,IN-04,West-central Indiana,Lafayette,0.6804232804232804,0.6226993865030674,0.548582995951417,310211,North Central,East North Central
IN,Indiana,IN-05,Northern Indianapolis suburbs,Indianapolis,0.5625000000000001,0.585539714867617,0.530241935483871,373002,North Central,East North Central
IN,Indiana,IN-06,Southeastern Indiana,Muncie,0.711882229232387,0.6182190378710337,0.5578093306288033,308476,North Central,East North Central
IN,Indiana,IN-07,Indianapolis,Indianapolis,0.38025210084033617,0.3601220752797558,0.33097880928355194,269316,North Central,East North Central
IN,Indiana,IN-08,Southwestern Indiana,Evansville,0.6764397905759162,0.5959183673469387,0.5126646403242148,306323,North Central,East North Central
IN,Indiana,IN-09,South-central Indiana and southern Indianapolis suburbs,Bloomington,0.6411332633788037,0.5842696629213483,0.5328614762386249,329134,North Central,East North Central
KS,Kansas,KS-01,Western Kansas,Manhattan,0.7403846153846154,0.7175025588536336,0.684317718940937,270401,North Central,West North Central
KS,Kansas,KS-02,"Topeka, Lawrence, and eastern rural Kansas",Topeka,0.5987124463519313,0.569672131147541,0.5382262996941897,303396,North Central,West North Central
KS,Kansas,KS-03,Suburban Kansas City area,Overland Park,0.49356223175965663,0.5484199796126401,0.5055724417426545,350647,North Central,West North Central
KS,Kansas,KS-04,Wichita area,Wichita,0.6459227467811159,0.6305015353121801,0.5973496432212029,282163,North Central,West North Central
KY,Kentucky,KY-01,Western Kentucky,Hopkinsville,0.7518172377985463,0.6741116751269035,0.6253807106598985,312063,South,East South Central
KY,Kentucky,KY-02,West-central Kentucky,Bowling Green,0.7097791798107256,0.6432926829268293,0.6231003039513677,325804,South,East South Central
KY,Kentucky,KY-03,Louisville,Louisville,0.42088607594936706,0.4345177664974619,0.43232323232323233,341876,South,East South Central
KY,Kentucky,KY-04,Cincinnati suburbs and northern Kentucky border area,Covington,0.68994708994709,0.6456211812627292,0.6243654822335025,340493,South,East South Central
KY,Kentucky,KY-05,Appalachian Kentucky,Somerset,0.819773429454171,0.7637474541751528,0.6782077393075355,280808,South,East South Central
KY,Kentucky,KY-06,Greater Lexington area,Lexington,0.5812964930924548,0.5693877551020408,0.5451776649746193,335359,South,East South Central
LA,Louisiana,LA-01,Suburban New Orleans,Metairie,0.720125786163522,0.7249488752556238,0.7418367346938776,362287,South,West South Central
LA,Louisiana,LA-02,New Orleans and Baton Rouge,New Orleans,0.22933884297520665,0.231237322515213,0.25708502024291496,331575,South,West South Central
LA,Louisiana,LA-03,Southwestern Louisiana,Lafayette,0.6974093264248705,0.6717479674796748,0.6531027466937944,346479,South,West South Central
LA,Louisiana,LA-04,Northwestern Louisiana,Shreveport,0.6234567901234568,0.5977710233029382,0.5961538461538461,321662,South,West South Central
LA,Louisiana,LA-05,Northeastern Louisiana,Monroe,0.6506147540983607,0.6180344478216818,0.6281661600810536,327892,South,West South Central
LA,Louisiana,LA-06,Baton Rouge suburbs,Baton Rouge,0.6764091858037579,0.6738022426095821,0.6859756097560976,362360,South,West South Central
MA,Massachusetts,MA-01,Springfield area and the Berkshires,Springfield,0.3895410885805763,0.3489318413021363,0.34458077709611457,339580,Northeast,New England
MA,Massachusetts,MA-02,Worcester area and upper Pioneer Valley,Worcester,0.3956989247311828,0.40040858018386105,0.3830439223697651,359008,Northeast,New England
MA,Massachusetts,MA-03,Lowell area and the Merrimack Valley,Lowell,0.37820512820512814,0.4211597151576806,0.40122199592668023,356667,Northeast,New England
MA,Massachusetts,MA-04,Western Boston suburbs and Bristol County,Newton,0.37154989384288745,0.4197154471544715,0.3855544252288912,389673,Northeast,New England
MA,Massachusetts,MA-05,Boston's northern and outer western suburbs,Framingham,0.2705263157894737,0.33672431332655134,0.3265513733468972,381195,Northeast,New England
MA,Massachusetts,MA-06,North Shore,Lynn,0.4050901378579003,0.4452332657200811,0.4211597151576806,408721,Northeast,New England
MA,Massachusetts,MA-07,Central Boston area,Boston,0.12395833333333336,0.15902140672782877,0.16937119675456389,305823,Northeast,New England
MA,Massachusetts,MA-08,Southern Boston suburbs,Boston,0.3628691983122363,0.41379310344827586,0.41158536585365857,391725,Northeast,New England
MA,Massachusetts,MA-09,Cape Cod and South Shore,New Bedford,0.44326617179215266,0.43711967545638947,0.4126016260162602,400544,Northeast,New England
MD,Maryland,MD-01,Eastern Shore and Baltimore exurbs,Bel Air South,0.649895178197065,0.6156982670744139,0.6081632653061224,366748,South,South Atlantic
MD,Maryland,MD-02,Suburban Baltimore area,Baltimore,0.372651356993737,0.3567787971457696,0.382262996941896,303020,South,South Atlantic
MD,Maryland,MD-03,Baltimore suburbs to Annapolis to D.C. suburbs,Baltimore,0.3396424815983175,0.3793456032719836,0.3873598369011213,344759,South,South Atlantic
MD,Maryland,MD-04,Prince George's County D.C. suburbs,Severna Park,0.20330237358101133,0.21031344792719925,0.2199798183652876,323286,South,South Atlantic
MD,Maryland,MD-05,Southern Maryland and outer Prince George's County,Waldorf,0.3336798336798337,0.3289340101522843,0.34042553191489366,361912,South,South Atlantic
MD,Maryland,MD-06,Western Maryland and Montgomery County D.C. suburbs,Germantown,0.4209424083769634,0.43673469387755104,0.4272634791454731,336126,South,South Atlantic
MD,Maryland,MD-07,Baltimore and western suburbs,Baltimore,0.21041666666666667,0.22639593908629443,0.2271805273833671,316448,South,South Atlantic
MD,Maryland,MD-08,Montgomery County,Silver Spring,0.32008368200836823,0.3673469387755102,0.3617886178861789,371688,South,South Atlantic
ME,Maine,ME-01,Portland and Augusta,Portland,0.42077087794432544,0.3905930470347648,0.3818737270875764,403573,Northeast,New England
ME,Maine,ME-02,Northern Maine,Lewiston,0.5556756756756757,0.45632065775950664,0.4428571428571429,363304,Northeast,New England
MI,Michigan,MI-01,Upper Peninsula and northern Lower Peninsula,Marquette,0.6126984126984127,0.5419615773508595,0.4933741080530071,366572,North Central,East North Central
MI,Michigan,MI-02,Western Michigan coast,Wyoming,0.5936170212765958,0.5650857719475277,0.5116988809766022,349819,North Central,East North Central
MI,Michigan,MI-03,Grand Rapids area,Grand Rapids,0.5501066098081023,0.5369059656218402,0.4944048830111902,354323,North Central,East North Central
MI,Michigan,MI-04,Central Michigan,Midland,0.6316348195329087,0.5404040404040404,0.49490835030549896,332625,North Central,East North Central
MI,Michigan,MI-05,"Flint, Saginaw, and Bay City",Flint,0.4779411764705882,0.3868686868686868,0.3591047812817904,330534,North Central,East North Central
